Players
AS Rajpoot
MP Stoinis
M Markande
DPMD Jayawardene
JDP Oram
SM Harwood
MM Ali
P Ray Barman
C de Grandhomme
V Shankar
SO Hetmyer
Mohammad Nabi
S Dube
S Kaul
SMSM Senanayake
Azhar Mahmood
Gurkeerat Singh
P Awana
DB Das
S Sandeep Warrier
A Nortje
TU Deshpande
JO Holder
DP Vijaykumar
PM Sarvesh Kumar
Shahid Afridi
MF Maharoof
GD McGrath
Mohammad Asif
ST Jayasuriya
Mohammad Ashraful
PR Shah
RA Shaikh
Salman Butt
Mohammad Hafeez
AB Agarkar
Umar Gul
MV Boucher
RS Bopara
VY Mahesh
YA Abdulla
K Goel
JR Hopes
D Salunkhe
DS Lehmann
RE Levi
DJ Jacobs
CJ McKay
DE Bollinger
ND Doshi
J Suchith
P Suyal
NM Coulter-Nile
P Dubey
L Ablish
AUK Pathan
A Mithun
SP Fleming
VRV Singh
RR Sarwan
P Amarnath
U Kaul
R Rampaul
BJ Hodge
S Gopal
B Laughlin
JPR Scantlebury-Searles
M Prasidh Krishna
Kuldeep Yadav
H Klaasen
RT Ponting
BMAJ Mendis
MC Juneja
KK Cooper
MJ Santner
NJ Maddinson
SM Pollock
RR Raje
Anand Rajan
NLTC Perera
GH Vihari
BB Samantray
DJ Harris
TP Sudhindra
B Chipli
A Choudhary
MN van Wyk
M Ashwin
GC Viljoen
NA Saini
S Chanderpaul
SB Joshi
O Thomas
R Parag
MDKJ Perera
R Shukla
S Badree
Shakib Al Hasan
Rasikh Salam
KP Appanna
TK Curran
BE Hendricks
Shivam Sharma
SM Curran
Avesh Khan
S Lamichhane
RV Gomez
AC Thomas
NJ Rimmington
L Ngidi
JL Pattinson
RK Bhui
DR Shorey
VS Malik
R Sathish
PA Reddy
P Parameswaran
A Ashish Reddy
V Pratap Singh
Bipul Sharma
T Kohli
A Mukund
AP Dole
MJ Lumb
J Theron
IR Jaggi
PJ Cummins
N Saini
DR Sams
LJ Wright
BAW Mendis
Harpreet Brar
CJ Jordan
A Chopra
T Taibu
Shoaib Akhtar
PD Collingwood
AB Barath
B Akhil
W Jaffer
AS Yadav
SB Bangar
MJ Clarke
AA Chavan
AP Majumdar
D Kalyankrishna
CR Woakes
K Khejroliya
SE Rutherford
AJ Turner
AA Bilakhia
Shoaib Ahmed
FH Edwards
Anureet Singh
M Klinger
SP Goswami
AC Blizzard
Karanveer Singh
KL Nagarkoti
Shivam Mavi
CV Varun
LE Plunkett
MG Neser
AB McDonald
JW Hastings
DNT Zoysa
DJ Thornely
LPC Silva
H Das
B Stanlake
DAJ Bracewell
Misbah-ul-Haq
Harmeet Singh
RS Gavaskar
TR Birt
Sachin Baby
MN Samuels
AD Mascarenhas
KAJ Roach
MB Parmar
JJ Roy
D Padikkal
Mashrafe Mortaza
TM Srivastava
RS Sodhi
TD Paine
AG Murtaza
AN Ahmed
AD Hales
S Narwal
BR Dunk
RR Rossouw
RJ Peterson
S Rana
RJ Quiney
CK Langeveldt
SS Sarkar
T Henderson
Yashpal Singh
SS Shaikh
Harpreet Singh
KB Arun Karthik
S Midhun
BJ Rohrer
I Malhotra
DJM Short
JE Taylor
GR Napier
MS Wade
L Ronchi
J Arunkumar
T Banton
I Udana
Y Gnaneswara Rao
JR Hazlewood
RD Gaikwad
KW Richardson
T Shamsi
SA Abbott
AR Bawne
SP Jackson
Shoaib Malik
UT Khawaja
J Syed Mohammad
LS Livingstone
MK Lomror
Kartik Tyagi
JP Behrendorff
AS Joseph
SD Lad
MA Wood
NL McCullum
Sunny Gupta
AN Ghosh
F Behardien
P Prasanth
CJ Green
B Sumanth
DM Bravo
DJ Muthuswami
KMDN Kulasekara
R Bishnoi
M de Lange
Swapnil Singh
AT Carey
Anirudh Singh
C Nanda
S Sriram
D du Preez
PSP Handscomb
SM Boland
VS Yeligati
MA Khote
Gagandeep Singh
DT Patil
SS Mundhe
RG More
Harmeet Singh (2)
A Uniyal
YBK Jaiswal
C Madan
ER Dwivedi
JR Philippe
JJ van der Wath
AS Roy
SC Kuggeleijn
AA Noffke
B Geeves
A Nel
X Thalaivan Sargunam
VH Zol
A Dananjaya
R Ninan
K Santokie
Monu Kumar
RR Bose
TS Mills
GS Sandhu
RR Bhatkal
Tejas Baroka
Vishnu Vinod
KM Asif
CJ Dala
Abdur Razzak
Younis Khan
DR Martyn
BJ Haddin
AA Kazi
RW Price
SS Agarwal
NB Singh
MJ Henry
JL Denly
N Jagadeesan
Harry Brook
Joe Root
Cameron Green
Sikandar Raza
Litton Das
Kusal Mendis
Phil Salt
Reece Topley
Akeal Hosein
Shubham Khajuria
Rohan Kunnummal
Chethan L.R.
Shaik Rasheed
Saurabh Kumar
Vivrant Sharma
Nishant Sindhu
Sanvir Singh
Samarth Vyas
Dinesh Bana
Abhimanyu Easwaran
Sumit Kumar
Upendra Singh Yadav
Mukesh Kumar
Lance Morris
Yash Thakur
Mujtaba Yousuf
Chintal Gandhi
Izharulhuq Naveed
Himanshu Sharma
""
Will Jacks
Paul Stirling
Dasun Shanaka
Taskin Ahmed
Blessing Muzarabani
Johnson Charles
Andre Fletcher
Shai Hope
Tom Latham
Ben Mcdermott
Lorcan Tucker
Pukhraj Mann
Akshat Raghuwanshi
Himanshu Rana
Shoun Roger
Will Smeed
Manoj Bhandage
Gerald Coetzee
Duan Jansen
Evan Jones
Abid Mushtaq
Suryansh Shedge
Akash Vashisht
Donovan Ferreira
Urvil Patel
Kirant Shinde
Vishnu Solanki
Vidwath Kaverappa
Rajan Kumar
Ravi Kumar
Arzan Nagwaswalla
Akash Singh
Paul Van Meekeren
Vyshak Vijay Kumar
S.Ajith Ram
Satyajeet Bachhav
Yuvraj Chudasama
Peter Hatzoglou
Karthik Meiyappan
Suyash Sharma
Shivam Sharma
Reeza Hendricks
Christiaan Jonker
Brandon King
Pathum Nissaanka
Harry Tector
Najibullah Zadran
Qais Ahmad
Charith Asalanka
Michael Bracewell
Jamie Overton
Richard Gleeson
Naveen Ul Haq
Lahiru Kumara
Joshua Little
Dilshan Madushanka
Luke Wood
Priyansh Arya
Matthew Breetzke
Shivam Chauhan
Rahul Gahlaut
Sudip Gharami
Amandeep Khare
Bhanu Pania
Ekant Sen
Himanshu Bisht
Mickil Jaiswal
G.Aniketh Reddy
Atit Sheth
Tanay Thyagarajann
Sumeet Verma
Ajitesh Guruswamy
Yash Kothari
Suresh Kumar
Kumar Kushagra
Anmol Malhotra
Robin Minz
Agniv Pan
Priyesh Patel
Mitesh Patel
Abishek Porel
Nitish Kumar Reddy
Bharat Sharma
Vivek Singh
Basit Bashir
Nandre Burger
Sakib Hussain
Waseem Khanday
Ravi Kiran Majeti
Anuj Raj
Avinash Singh
Prince Yadav
Mushtaq Beg
Rocky Bhasker
Sanjith Devaraj
Raghav Goyal
Allah Mohammad
Lalit Mohan
Bhuwan Rohilla
Aman Sharma
Manav Suthar
Afif Hossain
Sisanda Magala
Craig Overton
Dhananjaya Silva
Dunith Wellalage
Daryn Dupavillon
David Payne
Glenton Stuurman
Anirudh Balachander
Gourav Choudhary
Saurav Chuahan
Kumar Deobrat
Chirag Gandhi
Madhav Kaushik
Priyank Panchal
Ayush Pandey
Rohan Patil
Sanjay Ramaswamy
Siddharth Yadav
Rehan Ahmed
Vaisakh Chandran
Harsh Dubey
Tanush Kotian
Ninad Rathva
B. Surya
Jordan Thompson
Shivank Vashisth
Christopher Benjamin
Connor Esterhuizen
Mohd Arslan Khan
Mamidi Krishna
Fazil Makaya
Kunal Rathore
Ateev Saini
Bipin Saurabh
B.R. Sharath
Yashovardhan Singh
Lakshay Thareja
Mohit Avasthi
Ottneil Baartman
Gurnoor Singh Brar
Shahrukh Dar
Thomas Helm
Venkatesh Muralidhara
Geet Puri
E. Sanketh
Ajay Sarkar
Ashok Sharma
Kanwar Singh
Roston Chase
Rahkeem Cornwall
Karim Janat
Keshav Maharaj
Shivam Chaudhary
Ashwin Das
James Fuller
Chirag Jani
Akshay Karnewar
Bhagmender Lather
Lone Muzaffar
Pulkit Narang
Rohit Rayudu
Sameer Rizvi
Tunish Sawkar
Sonu Yadav
Auqib Dar
Mukhtar Hussain
Ashwani Kumar
Hemant Kumar
Nathan McAndrew
Rajesh Mohanty
Ravi Sharma
Vikash Singh
Ruben Trumpelmann
Koushik Vasuki
Vasu Vats
Shubham Agrawal
Anshul Kamboj
Azim Kazi
Dev Lakra
Ajay Mandal
Abdul P A
Jitender Pal
Ritwik Roy Chowdhury
Shubham Singh
Avneesh Sudha
Asad Jamil Ahmed
Aashish Bhatt
McKenny Clarke
Shubham Kapse
Gourav Koul
Raunak Kumar
Trilok Nag
Atal Bihari Rai
Ramon Simmonds
Rajeev Singh
Mohd. Wasim
Atharva Ankolekar
Khizar Dafedar
Naman Dhir
Sahil Dhiwan
Sampark Gupta
Jordan Hermann
Hayden Kerr
Salman Khan
Sairaj Patil
Divyaansh Saxena
Purnank Tyagi
Deepraj Gaonkar
Deepesh Nailwal
Arjun Rapria
Shashwat Rawat
Sumit Ruikar
Rajandeep Singh
Anunay Singh
Digvesh Singh
Pranshu Vijayran
Prerit Dutta
Ramakrishna Ghosh
Shubhang Hegde
Shamshuzama Kazi
Ayaz Khan
Amit Pachhara
Akul Pandove
Mohit Rathee
Garv Sangwan
Shubham Sharma
Nehal Wadhera
Amit Yadav
Amit Ali
Rishabh Chauhan
Matthew Forde
Sammar Gajjar
Rajneesh Gurbani
Divyansh Joshi
Dhruv Patel
Jack Prestwidge
Aditya Sarvate
Sagar Solanki
Prenelan Subrayen
